report_number,date_received,event_type,brand,generic,model,problem,narrative
3004193489-2012-00021,20120409,Other,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,High Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER CONTINUED TO ADMINISTER INSULIN BASED ON MULTIPLE HIGH READINGS THROUGHOUT THE DAY ON THEIR BLOOD GLUCOSE METER. THE CONSUMER REPORTED THAT HER INSULIN PUMP ADMINISTERS INSULIN BASED ON THE BLOOD GLUCOSE TEST RESULTS. IT WAS REPORTED THAT THE CONSUMER BECAME COMBATIVE AND EMT WERE CALLED AND THEY TREATED THE CONSUMER WITH IV GLUCOGEN. SEVERAL HOURS LATER THE CONSUMER WAS TRANSPORTED TO THE EMERGENCY ROOM. THE CONSUMER TESTED HER BLOOD GLUCOSE LEVEL ON THE NOVA METER GETTING A RESULT OF 321 MG/DL AND THE EMERGENCY ROOM TESTED THE CONSUMER GETTING A RESULT OF 32 MG/DL. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID CONTROL SOLUTION TEST THEIR TEST STRIPS FOR INTEGRITY BEFORE USE AS INSTRUCTED IN OUR DIRECTIONS FOR USE. THE CUSTOMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. METER AND TEST STRI | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2012-00020,20120409,Malfunction,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method; Low Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF ""LO"" (LESS THAN 20 MG/DL) ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED ANOTHER TEST USING THE SAME METER AND STRIPS GETTING THE FOLLOWING RESULT OF 190 MG/DL. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING WITH CUSTOMER SUPPORT SHOWING THE TEST STRIPS TO FALL IN RANGE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE DIFFERENCE IN THE CONSUMER'S READINGS WAS DETERMINED TO BE CLINICALLY SIGNIFICANT. THE METER AND TEST STRIPS WILL BE RETURNED FOR EVAL. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A F/U REPORT WILL BE FILED."
3004193489-2012-00016,20120323,Malfunction,NOVA MAX PLUS GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Incorrect Or Inadequate Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 173 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY TESTED AGAIN USING THE SAME METER AND TEST STRIPS GETTING A RESULT OF 65 MG/DL. DURING THE CALL TO CUSTOMER SUPPORT, THE CONSUMER STATED HAVING CONTROL TESTED HER TEST STRIPS WHEN THEY WERE OPENED AND THE TEST STRIPS CONTROL SOLUTION FELL INTO RANGE. ANOTHER CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING SHOWING THE TEST STRIPS TO FALL IN RANGE. THE DIFFERENCE IN THE CONSUMER'S READINGS WAS DETERMINED TO BE CLINICALLY SIGNIFICANT. THE METER AND TEST STRIPS WILL BE RETURNED FOR EVAL. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A F/U REPORT WILL BE FILED."
3004193489-2012-00015,20120323,Malfunction,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method; Low Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 54 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED TWO ADDITIONAL TESTS USING THE SAME METER AND STRIPS GETTING THE FOLLOWING RESULTS OF 123 MG/DL AND 117 MG/DL. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING WITH CUSTOMER SUPPORT SHOWING THE TEST STRIPS TO FALL IN RANGE. THE DIFFERENCE IN THE CONSUMER'S READINGS WAS DETERMINED TO BE CLINICALLY SIGNIFICANT. THE METER AND TEST STRIPS IN QUESTION WILL BE RETURNED FOR EVAL. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A F/U REPORT WILL BE FILED."
3004193489-2012-00014,20120323,Malfunction,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method; Incorrect Or Inadequate Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 323 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED TWO ADDITIONAL TESTS USING THE SAME METER AND STRIPS GETTING THE FOLLOWING RESULTS OF 494 MG/DL AND 120 MG/DL. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USING THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING WITH CUSTOMER SUPPORT SHOWING THE TEST STRIPS TO FALL IN RANGE. THE DIFFERENCE IN THE CONSUMER'S READINGS WAS DETERMINED TO BE CLINICALLY SIGNIFICANT. THE METER AND TEST STRIPS WILL BE RETURNED FOR EVALUATION. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2012-00017,20120323,Malfunction,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Incorrect Or Inadequate Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 64 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED TWO ADDITIONAL TESTS USING THE SAME METER AND STRIPS GETTING THE FOLLOWING RESULTS OF 537 MG/DL AND 470 MG/DL. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER'S PARENT COULD NOT CONFIRM IF THE CONSUMER PERFORMED A CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING WITH CUSTOMER SUPPORT SHOWING THE TEST STRIPS TO FALL IN RANGE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE DIFFERENCE IN THE CONSUMER'S READINGS WAS DETERMINED TO BE CLINICALLY SIGNIFICANT. THE METER WILL BE RETURNED FOR EVALUATION. THE TEST STRIPS IN QUESTION WERE USED UP BY THE CONSUMER. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2012-00019,20120323,Other,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Insufficient Device Problem Information,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL AND EMERGENT FOOD INTERVENTION. THE CONSUMER HAD 6 GLUCOSE TABLETS TO HELP RAISE HIS BLOOD GLUCOSE LEVEL. BLOOD TESTS PERFORMED WITH NOVA METER AND TEST STRIPS REVEALED THAT THE DEVICE GAVE LOW VALUES SHOWING OUR DEVICE PERFORMED AS INTENDED. THIS IS BEING REPORTED AS AN ADVERSE EVENT UNDER THE FDA MEDWATCH REGULATIONS. THE METER AND TEST STRIPS IN QUESTION WILL BE RETURNED FOR EVAL. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A F/U REPORT WILL BE FILED."
3004193489-2012-00018,20120323,Other,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Device Expiration Issue,"IT WAS REPORTED TO NOVA BIOMEDICAL ON (B)(6) 2012 BY THE CONSUMER'S SPOUSE THAT THE CONSUMER WAS HOSPITALIZED WITH DIABETIC KETOACIDOSIS, (DKA). DURING THE CALL TO CUSTOMER SUPPORT, THE CONSUMER REVEALED EXPIRED TEST STRIPS WERE IN USE PRIOR TO THE EVENT. THIS IS BEING REPORTED AS AN ADVERSE EVENT UNDER THE FDA MEDWATCH REGULATIONS. THE METER AND TEST STRIPS IN QUESTION WILL NOT BE RETURNED FOR EVAL BECAUSE THE CONSUMER DISCARDED THE PRODUCT."
1219029-2012-00001,20120322,Malfunction,NOVA STATSENSOR CREATININE HOSPITAL METER,CGL - CREATININE TEST SYSTEM,43370,Incorrect Or Inadequate Test Results; Device Operates Differently Than Expected,"IT WAS DETERMINED BY THE HOSPITAL THAT A SINGLE NOVA STATSENSOR HOSPITAL METER CREATININE CAPILLARY PT RESULT WAS CLINICALLY SIGNIFICANTLY DIFFERENT THAN THE RESULT OBTAINED FROM A VENOUS SAMPLE FROM THE SAME PT ON THE HOSPITAL LABORATORY ANALYZER (SIEMEN ADVIA). PT; STATSENSOR RESULT: 0.75 MG/DL, LAB RESULT: 1.57 MG/DL. THE HOSPITAL THRESHOLD FOR THE ALLOWANCE OF THE ADMINISTRATION OF CONTRAST MEDIA IS A RESULT BELOW 1.50 MG/DL. THEREFORE THE PT WAS GIVEN CONTRAST MEDIA BASED ON THE RESULT FORM THE METER. PER THE REPORTER, THE PT WAS GIVEN IV SOLUTION TO DIFFUSE THE MEDIA AND WAS RELEASED TO GO HOME. AS OF THE DATE OF THIS REPORT, NO ADVERSE EFFECTS HAVE BEEN REPORTED. | EVALUATION SUMMARY: THE INTERNAL INVESTIGATION ((B)(4)) TEST RESULTS SHOWED THAT THE RETAINS OF THE CUSTOMER CREATININE TEST STRIP LOT (LOT# 4911180249) MET THE DEFINED 510K CLEARANCE ACCEPTANCE CRITERIA FOR BOTH WHOLE BLOOD AND QUALITY CONTROL TESTING. THERE WERE NO OBVIOUS RESULT DISCREPANCIES OBSERVED AT ANY CREATININE LEVEL IN THE INVESTIGATION. IN SUMMARY, THE CUSTOMER COMPLAINT COULD NOT BE CONFIRMED. THAT INFORMATION WAS REPORTED TO THE INITIAL REPORTER."
3004193489-2012-00013,20120312,Other,NOVA MAX GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING EMERGENT FOOD INTAKE TO HELP RAISE HER BLOOD GLUCOSE LEVEL. THE CONSUMER HABITUALLY ADMINISTERS THE SAME AMOUNT OF 40 UNITS OF INSULIN EVERY DAY. TESTING WITH NOVA METER AND TEST STRIPS REVEALED THAT THE DEVICE GAVE LOW VALUES SHOWING OUR DEVICE PERFORMED AS INTENDED. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER AND TEST STRIPS IN QUESTION WILL BE RETURNED FOR EVALUATION. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2012-00012,20120227,Other,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method; High Test Results,"NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED. | IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 460 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED ANOTHER TEST USING ANOTHER NOVA METER WITH THE SAME TEST STRIPS GETTING A RESULT OF 425 MG/DL. THE CONSUMER ADMINISTERED 5 - 6 UNITS OF INSULIN BASED ON THOSE RESULTS AND SUBSEQUENTLY EXPERIENCED A HYPOGLYCEMIC EVENT WHILE AT THE DR'S OFFICE FOR A SCHEDULED APPOINTMENT. THE CONSUMER REQUIRED EMERGENT FOOD INTERVENTION TO HELP RAISE HIS BLOOD GLUCOSE LEVEL. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING WITH CUSTOMER SUPPORT SHOWING THE TEST STRIPS TO FALL OUT OF RANGE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL"
3004193489-2012-00011,20120227,Other,NOVA MAX GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Low Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. THE CONSUMER'S SPOUSE TESTED THE CONSUMER GETTING A RESULT OF 44 MG/DL. SEVERAL HOURS LATER, THE CONSUMER'S SPOUSE CALLED THE EMTS. WHEN THE EMTS ARRIVE THEY TESTED THE CONSUMER GETTING A RESULT OF 29 MG/DL. THE EMTS TREATED THE CONSUMER WITH EMERGENT FOOD INTERVENTION TO HELP RAISE HER BLOOD GLUCOSE LEVEL. TESTING WITH NOVA METER AND TEST STRIPS REVEALED THAT THE DEVICE GAVE LOW VALUES SHOWING OUR DEVICE PERFORMED AS INTENDED. THIS IS BEING REPORTED AS AN ADVERSE EVENT UNDER THE FDA MEDWATCH REGULATIONS. THE METER AND TEST STRIPS IN QUESTION WILL BE RETURNED FOR EVAL. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2012-00009,20120227,Other,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Insufficient Device Problem Information,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING EMERGENT FOOD INTERVENTION TO RAISE HER BLOOD GLUCOSE LEVEL. DURING THE CALL TO CUSTOMER SUPPORT, TO CONSUMER ADMITTED THAT SHE IS VISUALLY IMPAIRED AND IS NOT ABLE TO PROVIDE ANY LOT NUMBERS FOR THE METER AND TEST STRIPS. THE CONSUMER COULD NOT CONFIRM WHETHER OR NOT HER METER¿S BATTERY WAS INSERTED CORRECTLY. THE METER AND TEST STRIPS WILL NOT BE RETURNED FOR EVALUATION BECAUSE THE CONSUMER¿S SPOUSE PURCHASED A NEW BATTERY AND THE METER AND STRIPS ARE PERFORMING AS INTENDED. THIS IS BEING REPORTED AS AN ADVERSE EVENT UNDER THE FDA MEDWATCH REGULATIONS."
3004193489-2012-00010,20120227,Malfunction,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Programming Issue,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER'S BLOOD GLUCOSE METER SWITCHED UNITS OF MEASURE FROM MG/DL TO MMOL/DL. THE METER WILL BE RETURNED FOR EVAL. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A F/U REPORT WILL BE FILED."
3004193489-2012-00008,20120220,Other,NOVA MAX PLUS GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 356 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER ADMINISTERED 6 UNITS OF INSULIN BASED ON THAT RESULT. SUBSEQUENTLY THE CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT, WHICH DID REQUIRE EMERGENT FOOD INTERVENTION TO HELP RAISE HER BLOOD GLUCOSE LEVEL. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. IT WAS ALSO REVEALED THAT THE CONSUMER TRANSFERS TEST STRIPS FROM ONE VIAL TO ANOTHER, WHICH MAY CONTRIBUTE TO THE LOSS OF INTEGRITY OF THE TEST STRIPS. THE CONSUMER DID NOT HAVE ANY CONTROL SOLUTION FOR TESTING HER TEST STRIPS WHILE ON THE LINE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. TEST STRIPS WERE DISCARDED BY THE CONSUMER AND WILL NOT BE RE"
3004193489-2012-00007,20120220,Malfunction,NOVA MAX PLUS GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Incorrect Or Inadequate Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 80 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED THREE ADDITIONAL TESTS USING THE SAME METER AND STRIPS GETTING THE FOLLOWING RESULTS OF 100 MG/DL, 120 MG/DL AND 125 MG/DL. DURING THE CALL TO CUSTOMER SUPPORT, THE CONSUMER STATED HAVING CONTROL TESTED HER TEST STRIPS WHEN THEY WERE OPENED AND THE TEST STRIPS CONTROL SOLUTION FELL INTO RANGE. ANOTHER CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING SHOWING THE TEST STRIPS FALL IN RANGE. THE DIFFERENCE IN THE CONSUMER'S READINGS WAS DETERMINED TO BE CLINICALLY SIGNIFICANT. THE METER AND TEST STRIPS IN QUESTION WILL BE RETURNED FOR EVALUATION. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2012-00005,20120206,Other,NOVA MAX GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Low Test Results,"NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED. | IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 44 MG/DL ON THEIR BLOOD GLUCOSE METER AND EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. WHEN THE EMTS ARRIVED THEY TESTED THE CONSUMER GETTING A LOW RESULT OF THEIR BLOOD GLUCOSE METER. THE CONSUMER WAS TREATED WITH EMERGENT FOOD INTAKE TO RAISE HER BLOOD GLUCOSE LEVEL. TESTING WITH THE NOVA METER AND TEST STRIPS REVEALED THAT THE DEVICE GAVE A LOW VALUE SHOWING OUR DEVICE PERFORMED AS INTENDED. THIS IS BEING REPORTED AS AN ADVERSE EVENT UNDER THE FDA MEDWATCH REGULATIONS. THE METER AND TEST STRIPS WILL BE RETURNED FOR EVAL."
3004193489-2012-00004,20120206,Other,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method; High Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER CONTINUED TO GET HIGHER THAN EXPECTED RESULTS THROUGHOUT THE DAY. IT IS UNK IF THE CONSUMER ADMINISTRATED ANY INSULIN BASED ON THE HIGH RESULTS. THE CONSUMER'S SPOUSE REPORTED THAT THE CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. WHEN THE EMTS ARRIVED THEY TESTED THE CONSUMER GETTING A RESULT OF 33 MG/DL ON THEIR UNK BLOOD GLUCOSE METER. THE EMTS TESTED THE CONSUMER ON THE NOVA PARADIGM LINK METER GETTING A RESULT OF 311 MG/DL. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. IT WAS ALSO REVEALED THAT THE CONSUMER TRANSFERS TEST STRIPS FROM ONE VIAL TO ANOTHER, WHICH MAY CONTRIBUTE TO THE LOSS OF INTEGRITY OF THE TEST STRIPS. THE CONSUMER WAS EDUCATED ON THESE DIRECT | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2012-00006,20120206,Malfunction,NOVA MAX GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Incorrect Or Inadequate Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 101 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED THREE ADDITIONAL TESTS USING THE SAME METER AND STRIPS GETTING THE FOLLOWING RESULTS OF 174 MG/DL, 189 MG/DL AND 180 MG/DL. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING WITH CUSTOMER SUPPORT SHOWING THE TEST STRIPS TO FALL IN RANGE. THE DIFFERENCE IN THE CONSUMER'S READINGS WAS DETERMINED TO BE CLINICAL SIGNIFICANT. THE METER AND TEST STRIPS WILL BE RETURNED FOR EVALUATION. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2012-00003,20120206,Malfunction,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,No Display/Image,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER'S BLOOD GLUCOSE METER IS MISSING THE THIRD DIGIT IN THE LCD SCREEN. THE METER IN QUESTION WILL BE RETURNED FOR EVALUATION. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2012-00001,20120127,Other,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method,"NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED. | IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. THE CONSUMER WAS NOT ABLE TO PROVIDE ANY DETAILS OF TEST RESULTS OR MEDICATION TAKEN PRIOR TO THE REPORTED EVENT. WHEN THE EMTS ARRIVED THEY TESTED THE CONSUMER GETTING A RESULT OF 28 MG/DL ON THEIR UNK BLOOD GLUCOSE METER. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. A CONTROL SOLUTION TEST WAS NOT PERFORMED WHILE TROUBLESHOOTING BECAUSE THE CONSUMER NO LONGER HAD ANYMORE OF THE TEST STRIPS IN QUESTION. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER WILL BE RETURNED FOR EVALUATION AND ANOTHER SET OF TEST STRIPS NOT IN QUESTIONED WILL BE RETURNED FOR EVALUATION."
3004193489-2012-00002,20120127,Malfunction,NOVA MAX GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method; Incorrect Or Inadequate Test Results,"NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED. | IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 455 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED THREE ADDITIONAL TESTS USING THE SAME METER AND STRIPS GETTING THE FOLLOWING RESULTS OF 169 MG/DL, 165 MG/DL AND 152 MG/DL. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USING THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING WITH CUSTOMER SUPPORT SHOWING THE TEST STRIPS TO FALL IN RANGE. THE DIFFERENCE IN THE CONSUMER'S READINGS WAS DETERMINED TO BE CLINICALLY SIGNIFICANT. THE METER AND TEST STRIPS WILL BE RETURNED FOR EVALUATION."
2401936,20120104,Malfunction,RECHARGABLE LITHIUM ION BATTERY,BATTERY,LC 1001,Overheating of Device; Material Deformation,
